date, price
2004/1/30,35.035301
2004/2/2,35.736
2004/2/3,35.736
2004/2/4,35.736
2004/2/5,35.035301
2004/2/6,34.474701
2004/2/9,34.895199
2004/2/10,34.895199
2004/2/11,35.035301
2004/2/12,35.035301
2004/2/13,35.736
2004/2/16,35.035301
2004/2/17,35.035301
2004/2/18,35.035301
2004/2/19,35.736
2004/2/20,35.3857
2004/2/23,35.3857
2004/2/24,36.086399
2004/2/25,36.787102
2004/2/26,36.787102
2004/2/27,36.436699
2004/3/1,36.086399
2004/3/2,36.787102
2004/3/3,36.436699
2004/3/4,36.787102
2004/3/5,37.487801
2004/3/8,38.538799
2004/3/9,37.487801
2004/3/10,37.487801
2004/3/11,37.487801
2004/3/12,37.487801
2004/3/15,37.487801
2004/3/16,37.487801
2004/3/17,37.487801
2004/3/18,37.487801
2004/3/19,37.8381
2004/3/22,36.436699
2004/3/23,37.137402
2004/3/24,36.436699
2004/3/25,35.736
2004/3/26,35.736
2004/3/29,35.035301
2004/3/30,35.3857
2004/3/31,35.736
2004/4/1,35.736
2004/4/2,35.736
2004/4/5,37.8381
2004/4/6,37.8381
2004/4/7,37.8381
2004/4/8,37.487801
2004/4/9,37.487801
2004/4/12,37.487801
2004/4/13,37.8381
2004/4/14,37.8381
2004/4/15,36.787102
2004/4/16,37.487801
2004/4/19,37.8381
2004/4/20,36.787102
2004/4/21,38.188499
2004/4/22,38.538799
2004/4/23,38.188499
2004/4/26,38.188499
2004/4/27,38.538799
2004/4/28,38.188499
2004/4/29,37.487801
2004/4/30,37.137402
2004/5/3,36.787102
2004/5/4,35.3857
2004/5/5,35.3857
2004/5/6,34.685001
2004/5/7,36.086399
2004/5/10,36.436699
2004/5/11,36.787102
2004/5/12,34.2645
2004/5/13,34.1945
2004/5/14,34.404701
2004/5/17,34.334599
2004/5/18,34.404701
2004/5/19,36.787102
2004/5/20,35.736
2004/5/21,35.736
2004/5/24,35.736
2004/5/25,36.086399
2004/5/26,36.086399
2004/5/27,35.736
2004/5/28,35.736
2004/5/31,36.086399
2004/6/1,35.3857
2004/6/2,35.736
2004/6/3,35.3857
2004/6/4,35.736
2004/6/7,35.3857
2004/6/8,36.086399
2004/6/9,36.086399
2004/6/10,36.086399
2004/6/11,35.736
2004/6/14,35.736
2004/6/15,36.086399
2004/6/16,36.436699
2004/6/17,35.736
2004/6/18,35.3857
2004/6/21,34.5448
2004/6/23,32.933201
2004/6/24,33.563801
2004/6/25,34.965199
2004/6/28,32.582802
2004/6/29,32.933201
2004/6/30,33.844101
2004/7/1,32.652901
2004/7/2,31.9522
2004/7/5,32.7229
2004/7/6,32.582802
2004/7/7,31.3216
2004/7/8,29.149401
2004/7/9,29.780001
2004/7/12,31.812099
2004/7/13,31.812099
2004/7/14,32.933201
2004/7/15,33.6339
2004/7/16,33.073299
2004/7/19,32.792999
2004/7/20,32.863098
2004/7/21,34.334599
2004/7/22,33.143398
2004/7/23,33.143398
2004/7/26,32.7229
2004/7/27,32.162399
2004/7/28,31.882099
2004/7/29,32.933201
2004/7/30,33.6339
2004/8/2,33.423698
2004/8/3,32.302601
2004/8/4,31.812099
2004/8/5,31.531799
2004/8/6,31.6719
2004/8/9,31.812099
2004/8/10,32.7229
2004/8/11,32.582802
2004/8/12,32.652901
2004/8/13,32.652901
2004/8/16,33.493801
2004/8/17,33.3536
2004/8/18,33.563801
2004/8/19,32.442699
2004/8/20,32.7229
2004/8/23,33.143398
2004/8/26,33.0033
